EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
48590.770,50140.140,53936.770,146475.600,23173.680,55347.030,50688.770,146475.600,0.000
160751.800,165869.200,178084.200,487151.300,76839.050,183061.300,167672.500,487151.300,0.000
240085.600,247705.000,265082.500,734571.100,115203.300,273297.200,250333.900,734571.100,0.000
258338.900,266502.800,284031.300,801303.100,124605.000,293919.400,269191.500,801303.100,0.000
259967.300,268145.600,284832.200,817789.300,126055.600,295609.000,270737.000,817789.300,0.000
248298.400,256062.800,271241.300,793229.100,121147.500,282147.800,258548.500,793229.100,0.000
224348.000,231308.100,244323.100,730188.300,110295.800,254712.100,233624.200,730188.300,0.000
210137.100,216616.200,228406.800,694636.800,103904.400,238418.600,218793.800,694636.800,0.000
218947.800,225690.100,238063.000,727301.400,108357.900,248386.000,227883.500,727301.400,0.000
234013.000,241220.600,254573.400,778897.900,115815.100,265473.800,243498.300,778897.900,0.000
231353.400,238455.700,251383.500,777435.200,114899.800,262351.000,240706.100,777435.200,0.000
212256.500,218729.600,230059.600,725877.100,106131.300,240511.300,220822.500,725877.100,0.000
199733.700,205796.900,216167.800,692829.800,100382.600,226193.500,207767.800,692829.800,0.000
206276.800,212542.300,223453.600,716399.200,103639.600,233611.300,214546.400,716399.200,0.000
218321.800,224960.800,236749.800,756732.600,109538.100,247283.300,227052.100,756732.600,0.000
216558.100,223124.000,234656.400,755871.400,108906.100,245208.700,225186.100,755871.400,0.000
201858.500,207940.400,218266.800,713531.100,102098.500,228406.000,209857.400,715684.700,0.000
192066.100,197829.000,207432.700,678565.400,97562.050,217218.600,199646.600,689324.900,0.000
196827.500,202738.800,212776.600,679871.300,99917.700,222622.800,204600.800,706219.100,0.000
205849.000,212043.600,222771.800,691412.400,104321.600,232873.900,213990.600,736143.100,0.000
204548.000,210692.900,221242.900,673490.200,103838.000,231357.600,212618.700,735320.200,0.000
193548.700,199333.600,208983.300,629035.300,98723.040,218796.900,201140.800,705038.700,0.000
186070.400,191610.900,200719.000,596850.000,95242.580,210257.300,193340.600,684659.600,0.000
189222.600,194858.000,204283.300,597164.300,96802.520,213830.000,196630.600,695867.300,0.000
195546.800,201378.400,211310.200,606982.600,99886.320,221014.800,203224.000,716780.900,0.000
194543.100,200337.400,210141.100,595106.300,99492.200,219850.700,202161.400,715897.000,0.000
186625.400,192163.400,201314.400,563483.800,95791.270,210812.200,193883.900,694030.800,0.000
181077.900,186437.000,195188.200,540048.300,93198.720,204478.300,188094.400,678790.900,0.000
182856.500,188269.300,197226.700,539266.200,94093.160,206490.300,189965.900,685287.000,0.000
186882.600,192420.500,201717.200,545279.400,96066.800,211059.500,194173.500,698645.400,0.000
186077.700,191585.300,200788.400,536757.100,95739.020,210124.200,193313.000,697633.600,0.000
180687.400,186017.300,194773.200,514940.400,93216.170,203968.200,187659.100,682693.700,0.000
176734.200,181932.300,190406.500,498197.200,91370.050,199452.500,183527.000,671736.200,0.000
177392.700,182607.200,191193.000,495971.700,91722.910,200192.800,184237.500,674438.900,0.000
179523.600,184805.700,193588.600,498270.600,92778.920,202615.000,186482.800,681225.800,0.000
178827.000,184088.700,192799.100,491887.600,92479.550,201818.700,185747.400,678738.700,0.000
175423.000,180577.400,188999.000,477529.000,90880.620,197936.900,182170.300,667455.000,0.000
172736.300,177804.300,186033.100,465855.800,89624.340,194867.000,179358.600,658017.800,0.000
