EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
50828.690,51797.870,54807.280,146475.600,45893.940,57771.000,52386.960,146475.600,0.000
168134.900,171332.600,180867.800,487151.300,151839.300,191055.200,173266.300,487151.300,0.000
251064.900,255817.700,269042.300,734571.100,226804.200,285169.100,258666.500,734571.100,0.000
270087.500,275169.300,288096.100,801303.100,244108.400,306588.300,278196.600,801303.100,0.000
271704.400,276790.700,288743.200,817789.300,245702.800,308241.500,279818.900,817789.300,0.000
259390.400,264223.500,274679.800,793229.100,234701.800,294095.800,267093.600,793229.100,0.000
234247.800,238589.100,247095.500,730188.300,212095.800,265395.800,241153.700,730188.300,0.000
219337.800,223384.700,230849.000,694636.800,198696.300,248353.500,225753.000,694636.800,0.000
228541.900,232752.500,240721.900,727301.400,207054.000,258733.700,235207.300,727301.400,0.000
244279.500,248773.300,257528.500,778897.900,221318.800,276532.500,251405.200,778897.900,0.000
241446.800,245865.200,254186.500,777435.200,218816.700,273215.300,248456.000,777435.200,0.000
221429.100,225448.700,232411.300,725877.100,200795.300,250374.300,227803.000,725877.100,0.000
208325.100,212086.000,218290.100,692829.800,189000.200,235419.500,214277.800,692829.800,0.000
215186.700,219072.900,225765.800,716399.200,195222.300,243172.400,221332.600,716399.200,0.000
227789.800,231909.900,239320.700,756732.600,206635.900,257445.400,234309.500,756732.600,0.000
225926.400,230003.800,237156.500,755871.400,204989.000,255271.700,232368.700,755871.400,0.000
210534.700,214312.500,220464.500,715684.700,191127.600,237728.500,216496.100,715684.700,0.000
200289.500,203867.500,209462.800,689324.900,181899.900,226052.000,205930.200,689324.900,0.000
205282.500,208951.100,214936.700,706219.100,186422.400,231700.500,211067.500,706068.900,0.000
214734.400,218577.600,225130.400,734693.800,194979.000,242408.800,220802.100,735022.400,0.000
213375.600,217187.500,223573.900,726951.800,193777.900,240826.500,219387.800,731954.200,0.000
201867.500,205457.800,211117.700,682591.600,183415.800,227713.500,207523.300,698749.400,0.000
194046.900,197489.100,202737.500,644465.300,176374.000,218806.600,199461.600,675352.900,0.000
197355.000,200862.300,206387.000,637749.900,179374.100,222556.500,202870.000,683633.500,0.000
203984.500,207618.500,213552.600,641981.900,185377.400,230075.200,209702.500,701977.900,0.000
202947.200,206558.300,212378.500,626627.600,184456.800,228870.400,208621.900,698963.300,0.000
194685.000,198134.000,203443.300,592576.600,177014.400,219451.300,200101.000,675203.900,0.000
188898.400,192233.500,197245.400,565994.800,171800.300,212859.400,194132.600,657993.600,0.000
190765.600,194132.300,199320.800,560662.500,173490.300,214970.100,196049.900,662422.000,0.000
194982.300,198424.200,203887.700,562151.300,177304.800,219740.300,200388.600,673931.000,0.000
194147.400,197569.200,202958.000,550569.700,176558.800,218769.700,199515.500,671416.800,0.000
188517.500,191831.100,196880.600,526819.700,171490.300,212356.400,193713.500,655175.300,0.000
184383.300,187618.500,192459.100,507739.500,167769.500,207649.900,189456.000,642866.100,0.000
185074.300,188324.000,193252.800,501923.900,168401.700,208430.900,190170.300,644164.400,0.000
187318.300,190612.900,195696.400,500490.100,170439.000,210976.300,192485.300,650124.900,0.000
186611.900,189892.500,194924.700,491552.700,169807.700,210163.700,191748.000,647922.600,0.000
183074.800,186284.200,191113.600,475687.100,166621.900,206125.400,188098.600,637629.800,0.000
180276.100,183429.100,188120.800,462280.600,164100.300,202930.000,185211.800,629226.800,0.000
180062.200,183211.000,187922.500,455864.400,163911.100,202680.200,184989.900,628016.300,0.000
180754.200,183916.400,188690.900,451926.400,164542.100,203461.900,185703.400,629407.300,0.000
180121.900,183269.300,188011.500,444820.700,163972.700,202736.400,185043.500,627065.800,0.000
178184.500,181291.200,185935.100,434863.000,162230.100,200523.000,183048.000,620933.900,0.000
176418.200,179489.300,184052.300,425719.700,160642.900,198506.200,181230.200,615163.600,0.000
175535.100,178589.500,183124.000,418824.000,159849.700,197495.400,180318.800,611855.500,0.000
175054.100,178099.300,182629.000,412952.000,159419.000,196942.900,179821.900,609791.200,0.000
174451.900,177485.000,181994.600,407123.400,158875.500,196256.900,179195.200,607497.000,0.000
173685.000,176705.700,181189.400,401470.600,158190.500,195383.300,178409.800,604780.800,0.000
172688.900,175693.800,180133.100,395464.100,157297.900,194249.700,177387.700,601365.800,0.000
171341.100,174320.900,178694.000,388284.800,156082.700,192713.400,175996.600,596859.100,0.000
170025.700,172978.900,177296.800,381070.600,154895.800,191210.100,174636.400,592445.600,0.000
169446.200,172384.000,176690.400,376157.300,154366.700,190542.000,174024.100,590176.100,0.000
169515.300,172447.500,176785.600,373551.900,154425.900,190607.300,174086.300,589824.100,0.000
169081.500,171998.100,176327.300,369811.400,154031.000,190104.300,173632.100,588078.000,0.000
167431.600,170313.000,174555.700,362561.500,152539.500,188226.800,171928.700,582835.000,0.000
165537.400,168383.500,172537.100,354527.800,150832.400,186075.400,169982.200,576874.500,0.000
164938.000,167774.300,171919.000,350257.900,150291.000,185396.100,169365.100,574595.100,0.000
165532.200,168379.700,172587.400,349692.500,150830.800,186070.500,169982.700,575774.200,0.000
165474.500,168319.000,172534.700,347536.400,150780.400,186000.700,169922.800,575159.100,0.000
163677.700,166486.300,170601.500,340440.200,149157.000,183950.100,168065.000,569548.400,0.000
161465.000,164232.300,168238.500,332089.100,147160.800,181430.600,165783.000,562687.300,0.000
160867.200,163625.800,167623.900,328335.700,146618.700,180755.000,165162.000,560394.300,0.000
161774.500,164552.500,168632.200,329081.900,147438.800,181787.500,166100.100,562468.400,0.000
161951.800,164733.800,168834.000,328008.200,147599.900,181989.200,166287.500,562573.400,0.000
160103.500,162850.800,166846.000,321243.500,145932.200,179891.300,164388.400,556897.100,0.000
157730.700,160433.400,164311.100,312945.800,143792.600,177199.200,161950.700,549651.600,0.000
157111.000,159801.900,163673.400,309579.000,143229.300,176501.400,161309.300,547341.800,0.000
158145.300,160855.600,164817.900,311039.900,144162.200,177679.700,162377.800,549806.100,0.000
158444.700,161160.400,165150.300,310630.800,144433.100,178022.100,162690.200,550285.700,0.000
156630.300,159312.800,163198.000,304314.900,142796.300,175964.200,160825.600,544736.000,0.000
154243.600,156883.000,160647.000,296358.200,140643.300,173256.500,158373.400,537475.200,0.000
153613.300,156240.600,159996.000,293308.200,140067.500,172543.000,157718.100,535149.600,0.000
154653.100,157297.500,161144.900,295067.000,141000.600,173720.500,158785.400,537643.100,0.000
154995.300,157642.300,161521.900,295025.000,141304.200,174104.900,159133.900,538259.500,0.000
153276.900,155888.400,159670.700,289234.300,139748.400,172151.200,157362.000,532995.100,0.000
150978.600,153548.000,157213.600,281804.300,137674.200,169543.500,154999.600,525998.200,0.000
150335.600,152897.600,156550.300,278991.500,137091.200,168821.900,154337.000,523651.300,0.000
151281.100,153865.600,157602.000,280723.600,137946.800,169903.700,155318.300,525887.100,0.000
151592.200,154185.500,157951.300,280809.000,138230.000,170264.700,155645.200,526417.300,0.000
149987.700,152551.600,156228.100,275563.200,136781.400,168447.100,153994.100,521474.700,0.000
147833.800,150356.000,153928.600,268773.400,134837.200,166002.500,151777.300,514877.600,0.000
147190.000,149697.800,153262.200,266168.300,134250.800,165274.300,151108.700,512498.100,0.000
148004.200,150526.900,154168.600,267694.100,134984.200,166198.100,151949.800,514309.700,0.000
148268.200,150797.600,154464.000,267774.400,135221.000,166497.300,152223.200,514642.100,0.000
146819.100,149323.400,152904.900,263094.600,133909.800,164853.500,150729.000,510082.000,0.000
144857.100,147325.100,150807.900,257004.000,132136.300,162627.000,148708.800,503995.300,0.000
144206.400,146661.500,150130.800,254559.200,131540.700,161892.500,148031.800,501583.900,0.000
144840.400,147307.100,150841.500,255741.800,132108.700,162616.300,148683.400,502870.900,0.000
145016.100,147484.300,151041.600,255706.300,132263.900,162816.600,148860.200,502922.900,0.000
143715.600,146156.300,149643.300,251566.500,131085.800,161335.500,147514.500,498749.100,0.000
141958.400,144365.400,147768.400,246191.000,129499.000,159336.100,145706.000,493225.100,0.000
141309.700,143706.500,147093.800,243902.300,128909.200,158603.100,145036.700,490813.500,0.000
141759.200,144168.200,147605.000,244704.400,129313.900,159120.700,145504.600,491568.500,0.000
141830.100,144242.700,147693.400,244505.600,129375.000,159208.400,145579.500,491328.800,0.000
140658.300,143047.600,146436.700,240868.700,128312.600,157880.400,144373.300,487561.700,0.000
139096.300,141454.300,144773.300,236184.600,126902.100,156107.100,142772.200,482653.700,0.000
138448.100,140793.200,144099.900,234032.100,126314.400,155374.700,142107.500,480304.600,0.000
138711.800,141061.800,144412.500,234432.100,126552.700,155676.600,142384.000,480584.500,0.000
138680.000,141029.000,144392.000,234041.500,126520.000,155641.700,142347.600,480091.400,0.000
137644.000,139972.400,143281.700,230863.500,125576.300,154463.600,141271.700,476734.600,0.000
136283.000,138584.000,141832.600,226822.500,124342.500,152915.900,139869.900,472425.400,0.000
135644.300,137932.000,141164.000,224782.900,123759.100,152193.900,139211.200,470136.600,0.000
135737.500,138027.900,141287.700,224780.300,123841.100,152304.200,139312.300,469945.600,0.000
135608.400,137897.900,141162.500,224175.800,123722.300,152163.000,139180.000,469160.100,0.000
134694.400,136966.300,140187.300,221389.300,122892.400,151126.600,138233.600,466116.000,0.000
133519.800,135768.300,138940.100,217918.200,121828.200,149789.700,137021.200,462290.200,0.000
132893.300,135129.400,138282.400,215968.500,121255.300,149079.400,136370.400,459981.800,0.000
132829.000,135065.400,138235.500,215590.700,121195.600,149011.800,136308.100,459287.100,0.000
132603.300,134838.500,138007.600,214786.100,120990.900,148767.700,136079.200,458171.400,0.000
131784.000,134006.900,137136.500,212344.400,120248.000,147849.100,135236.300,455352.900,0.000
130758.400,132962.800,136050.800,209379.700,119319.000,146685.000,134183.100,451925.600,0.000
130133.700,132324.600,135395.200,207519.300,118746.900,145973.100,133535.900,449600.500,0.000
129932.900,132118.900,135201.400,206830.100,118562.200,145746.100,133331.300,448481.400,0.000
129627.300,131807.200,134888.000,205868.700,118283.900,145404.100,133017.100,447094.800,0.000
128893.700,131060.200,134111.000,203742.900,117618.900,144576.800,132261.000,444493.600,0.000
128003.500,130155.400,133173.900,201237.500,116816.700,143573.300,131350.600,441450.300,0.000
127387.800,129532.300,132530.700,199478.800,116259.600,142887.500,130720.500,439163.100,0.000
127068.900,129211.800,132210.600,198528.700,115971.400,142536.600,130399.100,437714.900,0.000
126687.500,128825.600,131815.800,197412.200,115622.400,142109.100,130005.300,436100.600,0.000
126027.800,128153.800,131116.500,195526.900,115018.200,141360.400,129318.800,433669.000,0.000
125262.500,127375.300,130309.500,193388.200,114321.700,140491.600,128527.600,430924.200,0.000
124664.200,126768.400,129680.100,191695.500,113773.000,139818.200,127904.400,428633.700,0.000
124251.500,126350.200,129257.700,190512.600,113395.600,139356.100,127480.400,426883.600,0.000
123803.300,125893.300,128793.800,189251.300,112986.200,138854.500,127020.600,425060.200,0.000
123185.200,125261.600,128144.000,187534.600,112422.500,138160.500,126385.300,422742.800,0.000
122498.400,124558.500,127424.700,185665.200,111798.800,137385.600,125681.400,420226.800,0.000
121906.200,123950.500,126800.600,184010.800,111254.400,136715.300,125064.400,417947.900,0.000
121427.400,123459.900,126302.100,182643.000,110813.900,136170.700,124567.800,415984.300,0.000
120941.000,122964.500,125793.300,181285.200,110366.300,135620.600,124063.400,414025.100,0.000
120371.300,122386.200,125195.500,179741.600,109844.300,134979.500,123474.800,411838.300,0.000
119757.000,121763.500,124555.200,178129.400,109286.600,134289.000,122845.500,409546.900,0.000
119170.900,121169.700,123937.800,176534.500,108750.200,133633.100,122238.000,407313.500,0.000
118638.100,120629.700,123383.200,175040.700,108265.400,133035.300,121692.300,405217.400,0.000
118117.500,120100.600,122842.500,173621.000,107793.200,132451.600,121161.700,403188.100,0.000
117579.900,119553.600,122283.900,172217.800,107305.900,131849.300,120614.200,401138.700,0.000
117025.500,118989.500,121708.300,170812.800,106803.400,131226.100,120048.500,399089.400,0.000
116455.500,118409.100,121105.400,169278.300,106278.300,130585.500,119453.700,397001.800,0.000
115886.300,117830.200,120509.800,167704.000,105757.500,129946.200,118866.800,394914.100,0.000
115339.100,117274.800,119940.200,166247.500,105259.300,129334.100,118307.500,392963.200,0.000
114820.700,116748.000,119401.800,164943.600,104786.900,128750.600,117779.500,391198.000,0.000
114294.000,116211.200,118856.100,163673.200,104307.400,128156.200,117244.200,389454.900,0.000
113718.700,115623.500,118248.300,162174.700,103777.100,127511.600,116646.000,387505.800,0.000
113118.900,115011.400,117621.800,160552.000,103229.500,126837.600,116027.500,385442.300,0.000
112551.400,114433.500,117032.600,159074.600,102713.400,126199.400,115444.300,383486.500,0.000
112048.300,113921.900,116511.400,157842.800,102254.800,125634.100,114927.700,381718.600,0.000
111562.100,113428.300,116008.800,156697.400,101813.000,125087.900,114430.500,380010.000,0.000
111014.600,112871.600,115428.700,155283.000,101308.600,124472.300,113858.600,378093.800,0.000
110413.400,112258.800,114796.600,153681.200,100757.800,123792.100,113237.600,376016.900,0.000
109838.700,111672.400,114195.700,152215.500,100230.900,123142.800,112645.200,374056.100,0.000
109343.600,111166.900,113682.300,151031.500,99775.360,122584.400,112133.500,372329.600,0.000
108871.900,110685.600,113196.400,149955.000,99344.730,122052.500,111647.800,370674.900,0.000
108326.100,110129.600,112619.300,148571.000,98841.760,121440.200,111075.000,368790.200,0.000
107711.100,109505.100,111974.900,146953.000,98280.170,120750.700,110440.300,366703.300,0.000
107124.100,108911.200,111364.800,145476.000,97747.210,120097.200,109841.200,364740.500,0.000
106632.000,108413.600,110858.400,144328.800,97301.820,119552.300,109343.300,363075.800,0.000
106169.800,107944.200,110384.700,143319.600,96883.800,119037.100,108876.600,361504.300,0.000
105626.800,107389.500,109808.600,141964.700,96379.860,118427.000,108307.200,359680.400,0.000
105014.400,106762.400,109161.400,140336.800,95813.160,117732.100,107668.700,357638.500,0.000
104438.300,106172.400,108555.700,138857.000,95282.150,117078.300,107072.900,355716.100,0.000
103956.000,105680.300,108054.800,137719.400,94838.980,116534.500,106579.700,354106.200,0.000
103495.000,105214.400,107583.100,136725.900,94420.950,116020.500,106116.300,352601.100,0.000
102953.200,104669.800,107013.500,135398.200,93925.060,115423.000,105558.700,350832.200,0.000
102343.900,104057.800,106378.500,133810.100,93373.980,114750.400,104939.400,348846.500,0.000
101761.900,103470.400,105776.200,132352.500,92849.620,114107.400,104351.700,346953.800,0.000
101268.400,102968.300,105268.300,131205.500,92402.870,113561.100,103853.900,345301.200,0.000
100808.100,102497.600,104795.500,130209.500,91985.460,113047.300,103389.700,343754.500,0.000
100282.800,101959.700,104237.900,128915.100,91498.990,112453.800,102840.100,342030.300,0.000
99699.270,101363.100,103623.200,127388.900,90962.690,111787.500,102234.200,340152.600,0.000
