EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
190118.800,192325.900,196784.400,256679.900,69342.270,199903.900,190278.300,700214.800,0.000
190094.700,192290.200,196732.400,255072.200,69314.280,199868.500,190144.200,699038.700,0.000
190073.200,192263.300,196705.000,253603.900,69330.730,199831.600,190108.500,697804.900,0.000
190048.000,192233.000,196696.600,254724.400,69395.110,199794.000,190216.900,698198.400,0.000
190005.800,192189.500,196655.700,255933.200,69408.520,199747.600,190213.700,699285.800,0.000
189960.300,192140.900,196588.300,255459.500,69365.870,199703.500,190093.800,699352.900,0.000
189940.100,192116.500,196544.200,253918.300,69335.300,199682.300,189972.300,698254.100,0.000
189926.600,192105.600,196532.900,252530.000,69356.480,199666.500,189957.000,697119.800,0.000
189896.000,192079.800,196529.800,253658.300,69417.370,199640.800,190073.300,697549.100,0.000
189870.400,192064.500,196514.300,254892.800,69443.380,199618.900,190089.600,698670.100,0.000
189830.500,192021.300,196457.600,254470.400,69397.430,199575.400,189969.200,698797.300,0.000
189801.000,191989.300,196407.600,252958.700,69351.740,199545.300,189844.800,697737.200,0.000
189794.600,191983.800,196400.400,251622.200,69368.730,199533.400,189834.600,696667.100,0.000
189780.100,191968.000,196406.800,252756.100,69424.880,199512.700,189950.400,697134.400,0.000
189750.800,191942.800,196385.400,253987.000,69437.480,199481.900,189961.600,698263.900,0.000
189725.800,191918.400,196345.600,253609.100,69405.840,199466.700,189873.000,698433.900,0.000
189720.800,191913.200,196320.800,252174.500,69381.700,199466.900,189774.600,697445.400,0.000
189720.900,191913.300,196323.000,250905.000,69402.700,199460.100,189771.100,696435.100,0.000
189708.700,191898.800,196332.600,252031.900,69457.780,199443.500,189888.200,696904.000,0.000
189688.200,191881.200,196320.900,253266.600,69475.040,199424.600,189912.100,698037.300,0.000
189653.000,191847.800,196272.800,252899.400,69430.420,199399.800,189814.300,698205.900,0.000
189635.100,191831.400,196235.800,251478.100,69390.010,199385.500,189705.200,697224.200,0.000
189642.400,191843.500,196247.600,250250.500,69415.940,199386.900,189708.600,696249.900,0.000
189649.600,191846.600,196277.800,251395.500,69485.140,199390.900,189841.800,696742.700,0.000
189654.900,191856.300,196287.100,252654.900,69518.220,199394.200,189884.600,697888.400,0.000
189640.400,191837.500,196252.400,252325.100,69482.280,199381.200,189800.400,698079.200,0.000
189637.600,191826.700,196224.900,250942.400,69443.560,199372.400,189697.000,697118.600,0.000
189651.700,191840.500,196238.100,249730.300,69467.170,199381.700,189707.700,696145.400,0.000
189647.700,191833.000,196252.700,250860.900,69518.760,199371.800,189826.300,696596.800,0.000
189653.000,191842.200,196264.500,252141.300,69552.200,199374.500,189869.500,697729.700,0.000
189638.300,191821.400,196233.800,251830.700,69515.360,199360.200,189781.900,697912.600,0.000
189637.800,191816.700,196213.500,250457.200,69479.410,199358.700,189683.400,696936.000,0.000
189670.800,191845.600,196245.700,249269.500,69517.860,199379.200,189705.500,695960.800,0.000
189684.600,191859.100,196281.600,250438.000,69589.120,199388.800,189844.600,696432.800,0.000
189669.400,191847.900,196272.400,251721.900,69598.510,199373.200,189869.000,697551.600,0.000
189652.000,191825.400,196235.500,251423.300,69556.300,199361.400,189782.400,697741.200,0.000
189649.000,191813.700,196207.600,250061.800,69515.630,199357.400,189682.500,696765.100,0.000
189674.600,191835.500,196232.500,248877.000,69545.490,199372.500,189701.000,695782.300,0.000
189685.300,191846.300,196265.500,250047.600,69610.310,199376.400,189834.100,696240.100,0.000
189675.800,191845.600,196266.000,251350.400,69627.120,199368.000,189864.000,697358.400,0.000
189661.000,191832.600,196238.100,251067.000,69590.380,199359.300,189782.300,697547.800,0.000
189675.900,191843.100,196233.600,249731.400,69568.470,199375.000,189700.400,696587.900,0.000
189696.300,191862.100,196251.800,248540.300,69592.520,199388.200,189711.500,695597.400,0.000
189685.500,191849.000,196260.900,249694.900,69636.050,199375.000,189827.900,696053.200,0.000
189683.700,191851.600,196266.900,251025.700,69660.830,199374.200,189872.500,697211.200,0.000
189672.800,191841.700,196243.000,250761.800,69626.940,199372.100,189799.000,697428.900,0.000
189663.500,191828.900,196216.200,249420.800,69584.020,199366.300,189697.800,696471.600,0.000
189675.200,191842.900,196232.000,248229.400,69603.420,199376.000,189707.100,695480.900,0.000
189682.600,191851.500,196263.300,249392.400,69663.150,199379.500,189837.800,695942.500,0.000
189684.400,191865.600,196276.300,250729.500,69690.150,199381.800,189880.000,697095.300,0.000
189681.600,191861.000,196259.000,250482.100,69661.090,199384.300,189813.500,697310.900,0.000
189692.100,191867.800,196250.500,249184.000,69634.450,199399.700,189736.100,696379.600,0.000
189709.000,191891.600,196272.500,248007.900,69655.550,199414.900,189750.000,695401.800,0.000
189709.000,191893.000,196297.800,249155.000,69710.270,199414.900,189877.900,695847.600,0.000
189715.600,191903.800,196313.200,250501.900,69741.380,199422.400,189925.400,697006.400,0.000
189701.500,191887.800,196284.200,250254.300,69700.880,199412.500,189841.800,697224.200,0.000
189700.500,191883.800,196264.900,248947.300,69660.730,199411.800,189744.800,696278.900,0.000
189724.500,191913.600,196292.900,247783.200,69689.160,199431.700,189762.800,695306.600,0.000
189722.600,191915.000,196315.700,248923.000,69741.560,199429.600,189890.800,695748.300,0.000
189722.900,191921.900,196326.200,250263.700,69767.760,199433.500,189941.400,696898.100,0.000
189708.700,191904.100,196296.400,250020.900,69729.310,199425.700,189863.100,697118.100,0.000
189708.900,191898.400,196275.700,248720.200,69690.060,199423.700,189764.400,696180.300,0.000
189736.800,191923.200,196304.400,247560.700,69719.120,199446.700,189782.800,695213.500,0.000
189741.500,191927.400,196332.700,248700.900,69774.730,199449.300,189912.100,695663.400,0.000
189731.700,191926.000,196332.500,250041.000,69788.950,199438.900,189946.400,696815.400,0.000
189711.600,191905.400,196299.400,249809.200,69746.030,199427.700,189865.200,697047.900,0.000
189704.900,191896.800,196272.100,248518.100,69701.860,199427.700,189770.500,696118.100,0.000
189716.500,191908.000,196281.600,247348.700,69712.410,199435.800,189775.100,695144.800,0.000
189723.900,191915.000,196308.200,248469.000,69766.770,199439.700,189903.400,695579.700,0.000
189728.400,191924.600,196323.000,249820.200,69795.650,199445.600,189953.100,696739.100,0.000
189726.000,191916.600,196309.000,249606.500,69769.010,199447.900,189885.000,696980.700,0.000
189727.900,191914.800,196293.800,248332.200,69731.100,199451.000,189792.300,696052.900,0.000
189747.200,191936.900,196316.500,247186.600,69752.470,199466.400,189805.800,695095.200,0.000
189761.900,191952.000,196354.400,248307.700,69818.180,199480.400,189945.900,695531.600,0.000
189754.600,191952.000,196357.400,249644.700,69834.360,199472.600,189980.600,696671.400,0.000
189737.600,191939.800,196327.700,249423.800,69794.580,199467.800,189902.000,696910.300,0.000
189739.200,191941.000,196308.000,248166.300,69757.920,199477.800,189816.200,696010.200,0.000
189757.300,191955.500,196323.800,247026.200,69776.700,199494.100,189831.000,695064.800,0.000
189766.100,191958.800,196349.500,248119.800,69828.460,199489.900,189953.000,695486.400,0.000
189769.400,191964.300,196362.000,249457.000,69852.060,199489.100,189999.800,696626.900,0.000
189742.400,191935.100,196323.700,249238.900,69801.280,199468.100,189912.300,696863.100,0.000
189744.900,191932.500,196308.900,247989.000,69764.980,199473.800,189825.000,695968.800,0.000
189778.600,191968.700,196344.100,246860.500,69799.590,199502.700,189850.700,695044.100,0.000
189789.900,191979.000,196375.100,247958.500,69858.230,199512.200,189985.100,695480.400,0.000
189787.400,191976.700,196376.900,249301.800,69871.470,199503.100,190023.300,696634.700,0.000
189774.700,191962.000,196346.800,249103.800,69829.890,199493.700,189942.300,696903.600,0.000
189778.000,191957.500,196328.300,247864.900,69790.730,199494.500,189849.400,696030.100,0.000
189800.600,191980.100,196350.000,246721.500,69810.230,199510.200,189861.200,695095.600,0.000
189811.100,191991.800,196379.700,247811.500,69867.450,199521.300,189994.700,695531.000,0.000
189796.400,191980.000,196373.700,249152.900,69874.590,199507.800,190027.000,696685.300,0.000
189789.600,191973.100,196354.500,248959.700,69842.410,199507.100,189957.300,696958.800,0.000
189805.500,191988.000,196351.700,247731.800,69818.720,199528.800,189882.800,696092.400,0.000
189828.300,192011.200,196371.800,246601.100,69839.020,199545.000,189892.000,695172.100,0.000
189830.100,192005.800,196388.500,247662.300,69881.300,199536.100,190003.900,695586.900,0.000
189846.300,192022.200,196412.000,249004.900,69916.080,199546.900,190061.100,696737.000,0.000
189848.000,192016.600,196397.500,248818.900,69885.510,199544.000,189991.700,697012.600,0.000
189851.800,192008.300,196377.800,247593.900,69843.210,199537.400,189893.500,696140.600,0.000
189878.800,192033.800,196402.800,246486.300,69867.000,199555.500,189905.300,695238.400,0.000
189894.800,192051.900,196439.000,247553.100,69929.130,199573.900,190039.500,695660.400,0.000
189910.200,192074.000,196464.500,248896.600,69968.560,199594.600,190106.600,696804.600,0.000
189891.800,192058.300,196434.200,248703.500,69926.010,199584.600,190030.400,697066.400,0.000
189873.200,192035.600,196397.700,247476.200,69867.980,199564.700,189921.100,696187.900,0.000
189880.000,192043.300,196406.200,246369.700,69874.330,199563.800,189916.200,695291.400,0.000
189889.900,192050.300,196436.100,247431.200,69929.940,199569.300,190040.600,695708.600,0.000
189885.600,192046.400,196441.400,248753.000,69948.180,199561.800,190081.300,696830.900,0.000
189874.100,192036.900,196417.300,248568.900,69913.220,199560.800,190012.500,697097.900,0.000
189878.300,192039.500,196402.400,247366.100,69880.770,199569.000,189929.200,696237.500,0.000
189876.000,192043.900,196406.000,246249.500,69885.590,199567.700,189926.700,695318.300,0.000
189873.500,192043.800,196429.100,247305.600,69933.700,199570.700,190049.200,695723.600,0.000
189882.200,192060.900,196449.000,248644.800,69964.180,199581.700,190104.900,696849.800,0.000
189880.000,192061.600,196434.400,248466.800,69933.880,199583.800,190037.400,697108.600,0.000
189878.600,192049.700,196415.000,247263.600,69891.310,199577.400,189940.900,696234.700,0.000
189887.700,192059.000,196425.000,246150.200,69901.150,199582.700,189941.900,695304.300,0.000
189891.600,192064.300,196451.000,247203.300,69954.340,199589.300,190068.600,695686.800,0.000
189898.700,192078.000,196468.500,248546.700,69983.670,199597.900,190124.000,696788.300,0.000
189879.500,192057.900,196438.000,248358.700,69942.450,199585.700,190044.800,697014.300,0.000
189879.300,192059.700,196422.700,247164.300,69909.470,199593.800,189958.900,696128.100,0.000
189895.400,192080.900,196441.400,246068.300,69927.340,199608.000,189968.900,695211.700,0.000
189897.500,192083.900,196464.300,247103.500,69973.130,199609.000,190084.600,695580.400,0.000
189901.700,192095.000,196477.600,248440.200,69998.160,199614.400,190133.700,696678.900,0.000
189878.900,192071.100,196440.500,248257.300,69950.320,199600.900,190051.300,696918.500,0.000
189872.500,192062.800,196415.100,247067.200,69906.250,199601.200,189959.300,696046.600,0.000
189886.100,192078.100,196429.900,245967.800,69921.000,199610.000,189964.200,695137.900,0.000
189890.000,192082.300,196456.500,246998.200,69974.640,199617.300,190089.300,695515.100,0.000
189877.700,192076.900,196456.400,248322.300,69989.400,199607.000,190128.200,696609.600,0.000
189860.700,192061.700,196428.100,248151.600,69950.590,199598.900,190051.200,696872.300,0.000
189856.700,192057.200,196407.700,246968.500,69909.020,199598.000,189960.600,696018.800,0.000
189873.000,192075.300,196426.500,245870.400,69924.750,199609.000,189969.300,695122.800,0.000
189872.200,192069.000,196444.400,246891.700,69965.970,199601.000,190079.000,695511.400,0.000
189865.400,192067.100,196446.400,248227.000,69982.780,199593.600,190120.600,696636.700,0.000
189850.800,192053.100,196417.300,248058.600,69942.550,199587.600,190046.600,696918.500,0.000
189851.100,192048.100,196396.600,246875.300,69900.970,199591.100,189956.000,696078.800,0.000
189870.600,192066.000,196416.300,245779.900,69913.660,199598.800,189958.400,695203.800,0.000
189862.700,192056.700,196430.000,246790.500,69952.110,199590.900,190068.300,695592.100,0.000
189858.700,192060.900,196439.300,248122.300,69973.930,199591.300,190117.400,696709.800,0.000
189847.000,192055.800,196420.000,247964.600,69941.120,199589.300,190048.300,696992.500,0.000
189840.300,192047.500,196397.100,246789.200,69898.550,199587.300,189953.500,696153.300,0.000
189863.100,192071.600,196422.900,245697.600,69921.890,199606.700,189963.800,695261.700,0.000
189865.800,192074.500,196443.700,246710.300,69965.700,199603.000,190074.400,695639.800,0.000
189872.000,192081.600,196455.000,248054.700,69992.520,199605.400,190127.900,696760.100,0.000
189856.700,192067.200,196425.900,247903.300,69955.330,199599.800,190057.300,697041.700,0.000
189850.000,192059.700,196402.500,246735.600,69915.010,199602.900,189965.900,696197.800,0.000
189861.600,192074.600,196419.500,245632.200,69930.300,199615.400,189969.100,695276.800,0.000
189859.500,192075.300,196442.600,246637.400,69977.590,199615.300,190085.400,695624.400,0.000
189863.600,192085.600,196459.100,247980.000,70005.480,199618.400,190138.300,696719.600,0.000
189855.400,192077.100,196439.600,247829.300,69971.780,199612.400,190067.400,696971.800,0.000
189857.000,192078.100,196423.700,246674.100,69933.780,199616.400,189979.300,696114.200,0.000
189880.000,192095.000,196442.900,245581.900,69948.000,199625.300,189983.400,695190.000,0.000
189891.000,192102.000,196470.100,246583.700,69999.410,199631.800,190107.000,695529.600,0.000
189894.600,192107.900,196482.500,247917.000,70024.530,199634.600,190158.900,696604.600,0.000
