EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
153687.200,156410.700,159618.400,277395.800,137538.400,172585.400,157983.100,532986.200,0.000
154060.200,156796.500,160029.800,277308.800,137869.300,173020.100,158373.000,533876.100,0.000
152293.300,155001.400,158140.300,271479.300,136317.000,171018.900,156560.500,528867.900,0.000
149926.000,152591.200,155614.600,263978.800,134229.200,168330.800,154119.900,522106.900,0.000
149290.400,151942.900,154963.500,261132.400,133663.900,167606.900,153461.500,520043.200,0.000
150304.000,152974.900,156082.500,262877.000,134555.400,168758.200,154508.200,522605.700,0.000
150650.600,153327.100,156460.700,262937.200,134856.000,169153.900,154862.500,523368.500,0.000
149005.900,151650.100,154698.900,257682.100,133404.800,167284.400,153169.800,518543.500,0.000
146786.000,149387.800,152330.100,250846.500,131444.700,164765.200,150881.700,511979.600,0.000
146135.700,148725.900,151664.000,248217.200,130869.200,164033.500,150216.100,509621.900,0.000
146997.500,149606.200,152622.200,249764.900,131630.300,165020.700,151115.000,511464.000,0.000
147286.000,149901.300,152940.200,249841.700,131880.600,165353.500,151411.300,511825.700,0.000
145798.600,148384.200,151347.300,245187.800,130565.800,163659.700,149876.000,507314.200,0.000
143782.400,146327.500,149194.400,239093.300,128781.600,161366.200,147791.700,501250.500,0.000
143142.000,145675.300,148534.900,236658.900,128212.400,160642.700,147132.000,498909.200,0.000
143831.900,146380.300,149305.900,237880.400,128819.900,161432.900,147850.100,500320.200,0.000
144023.600,146575.000,149520.900,237842.900,128981.500,161653.300,148043.800,500449.800,0.000
142673.400,145196.400,148079.300,233734.300,127785.400,160115.200,146650.300,496342.400,0.000
140858.100,143345.300,146144.600,228371.500,126177.600,158051.500,144774.100,490888.300,0.000
140209.900,142686.400,145475.900,226099.800,125599.700,157319.700,144104.600,488598.700,0.000
140702.900,143192.100,146035.400,226945.900,126033.100,157887.300,144619.500,489522.400,0.000
140798.900,143291.700,146151.500,226778.100,126114.900,158002.000,144718.900,489412.800,0.000
139604.200,142075.700,144882.500,223224.000,125062.900,156645.300,143492.200,485752.600,0.000
137999.200,140441.900,143176.200,218594.100,123645.700,154826.500,141840.200,480917.500,0.000
137346.300,139777.300,142499.400,216482.500,123064.200,154093.200,141170.900,478660.900,0.000
137645.200,140079.900,142842.900,216945.200,123321.900,154438.000,141483.800,479063.100,0.000
137637.500,140067.100,142839.100,216605.800,123304.300,154429.800,141470.500,478644.100,0.000
136579.300,138984.200,141710.500,213529.600,122364.700,153225.000,140380.300,475333.800,0.000
