EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
48853.710,49479.930,51092.940,146475.600,15160.430,51582.730,48960.050,146475.600,0.000
161578.100,163643.800,168881.000,487151.300,50356.890,170589.100,161905.700,487151.300,0.000
241207.300,244276.400,251853.800,726483.200,75742.100,254618.600,241622.600,734571.100,0.000
259377.800,262658.100,270487.700,762308.300,82306.880,273736.500,259722.600,801303.100,0.000
260823.700,264107.700,271724.500,727819.000,83664.410,275198.700,261146.800,817789.300,0.000
248888.600,252011.400,259060.200,650249.800,80794.700,262540.200,249262.100,793229.100,0.000
224623.200,227429.900,233567.300,541039.300,73934.130,236873.500,225002.900,730188.300,0.000
210202.100,212819.800,218422.100,467007.800,69908.730,221616.400,210521.900,694636.800,0.000
218966.000,221689.500,227542.700,470424.000,72960.160,230844.500,219235.300,727301.400,0.000
234005.300,236909.200,243208.800,501105.300,77995.230,246688.100,234278.300,778897.900,0.000
231187.700,234041.100,240186.500,481824.000,77548.700,243670.800,231487.500,777435.200,0.000
211843.900,214441.000,219902.300,411096.200,71916.880,223214.500,212133.100,725877.100,0.000
199149.900,201578.900,206611.300,359103.400,68211.500,209794.900,199400.600,692829.800,0.000
205656.300,208160.600,213413.400,368442.000,70388.640,216651.600,205887.000,716399.200,0.000
217691.500,220341.100,225976.900,399773.100,74320.180,229339.900,217931.600,756732.600,0.000
215827.500,218448.000,223986.500,391044.000,73998.290,227350.900,216079.900,755871.400,0.000
200956.700,203387.000,208407.200,340786.000,69610.620,211633.300,201193.200,715684.700,0.000
191037.700,193343.100,198037.000,303826.600,66665.400,201149.300,191250.200,689324.900,0.000
195770.700,198137.000,202999.100,313335.800,68215.630,206137.600,195979.300,706219.100,0.000
204791.500,207271.200,212424.100,339383.100,71127.300,215652.100,205009.300,736143.100,0.000
203427.600,205885.700,210969.700,334977.400,70862.800,214201.600,203646.200,735320.200,0.000
192310.100,194622.200,199324.400,299022.000,67556.800,202455.300,192511.900,705038.700,0.000
184736.600,186951.700,191413.000,272428.200,65290.820,194456.800,184934.300,684659.600,0.000
187861.000,190120.500,194700.500,279784.000,66312.910,197757.100,188077.600,695730.100,0.000
194182.400,196527.400,201315.100,299246.600,68347.380,204430.100,194412.100,715911.800,0.000
193136.900,195468.100,200207.200,296829.000,68122.980,203320.500,193356.500,713508.200,0.000
185143.200,187368.000,191836.500,271714.900,65733.020,194873.500,185340.100,689629.600,0.000
179534.900,181683.700,185979.500,252863.700,64048.090,188945.900,179730.700,671799.400,0.000
181292.000,183461.000,187831.500,257510.700,64626.090,190795.600,181507.000,675043.100,0.000
185308.600,187527.500,192032.200,270614.900,65910.680,195031.200,185528.900,685284.800,0.000
184469.100,186674.500,191140.300,269110.400,65703.730,194138.500,184668.700,682168.000,0.000
179022.200,181156.000,185434.700,252401.800,64066.590,188378.900,179193.000,665867.800,0.000
175017.900,177100.200,181254.400,239505.100,62859.650,184142.700,175186.900,653261.800,0.000
175651.800,177744.800,181931.100,241584.500,63078.410,184809.000,175842.400,653633.900,0.000
177778.600,179903.000,184159.600,249170.500,63763.080,187055.900,177976.200,658461.600,0.000
177069.200,179185.500,183413.000,248064.500,63574.540,186307.700,177248.900,655619.800,0.000
173630.500,175701.500,179815.500,237833.100,62536.240,182676.600,173790.700,645105.900,0.000
170901.800,172936.800,176971.600,229518.200,61711.890,179794.900,171072.600,636357.100,0.000
170660.900,172692.000,176733.000,229437.100,61652.280,179540.700,170859.100,634491.100,0.000
171288.600,173326.700,177394.600,232508.200,61853.710,180204.500,171492.400,635196.100,0.000
170650.400,172676.600,176721.600,231519.600,61661.360,179527.900,170830.900,632568.400,0.000
168769.100,170765.500,174746.500,226194.700,61090.380,177533.000,168921.900,626485.000,0.000
167055.100,169024.700,172954.800,221382.400,60576.840,175714.000,167209.300,620735.100,0.000
166178.100,168135.600,172046.100,219642.800,60317.000,174784.200,166351.900,617241.800,0.000
165678.800,167634.000,171531.700,219237.200,60160.750,174260.500,165855.300,614859.000,0.000
165069.800,167021.800,170898.500,218240.200,59963.030,173623.400,165230.100,612359.400,0.000
164312.000,166256.200,170109.400,216501.100,59726.120,172826.300,164459.600,609550.600,0.000
163337.600,165270.700,169099.300,214280.200,59435.910,171799.700,163501.700,606073.300,0.000
162011.800,163928.800,167723.800,211363.200,59033.640,170402.100,162202.400,601502.400,0.000
160706.800,162604.900,166364.300,208428.100,58618.610,169024.200,160897.100,596950.100,0.000
160118.100,162003.700,165747.800,207370.100,58414.460,168399.700,160284.000,594529.300,0.000
160166.300,162046.800,165795.200,208147.000,58414.980,168443.600,160307.700,594022.500,0.000
159749.300,161619.000,165357.400,207789.400,58289.680,167994.500,159890.400,592191.000,0.000
158168.900,160015.600,163705.800,204139.600,57807.430,166320.500,158322.200,586982.000,0.000
156342.300,158167.000,161798.900,199511.600,57229.430,164390.900,156491.100,581015.900,0.000
155753.000,157574.900,161187.400,198377.800,57020.770,163771.300,155884.800,578636.600,0.000
156309.700,158144.900,161775.800,200787.200,57175.680,164364.300,156432.300,579631.100,0.000
156245.200,158082.900,161716.300,201669.400,57156.670,164301.200,156381.700,578912.900,0.000
154510.200,156325.900,159910.200,197619.100,56625.800,162472.700,154667.700,573392.400,0.000
152371.700,154159.100,157680.400,191975.600,55956.300,160218.600,152532.600,566608.600,0.000
151784.500,153562.500,157071.000,190784.500,55751.700,159602.200,151935.200,564239.900,0.000
152646.000,154433.400,157975.000,194154.900,55996.590,160512.000,152786.600,566092.600,0.000
152819.200,154608.000,158157.700,195815.300,56043.820,160690.800,152962.800,566060.800,0.000
151055.700,152820.900,156314.100,191655.900,55498.740,158822.800,151204.900,560482.100,0.000
148787.300,150522.100,153943.100,185539.000,54786.380,156423.800,148928.100,553340.800,0.000
148196.300,149921.700,153327.500,184298.500,54577.840,155799.500,148322.400,550956.500,0.000
149185.100,150920.600,154363.300,188089.900,54856.320,156843.400,149299.800,553167.600,0.000
149473.400,151210.100,154666.500,190139.400,54933.550,157145.900,149590.200,553476.900,0.000
147741.200,149453.300,152857.400,186061.100,54396.210,155313.300,147862.800,548013.800,0.000
145460.400,147139.700,150474.500,179867.400,53679.180,152899.900,145572.000,540854.800,0.000
144862.700,146530.300,149851.600,178593.900,53468.870,152264.500,144957.900,538440.300,0.000
145866.800,147544.400,150902.800,182438.900,53757.290,153321.900,145950.800,540662.600,0.000
146208.500,147886.700,151259.700,184630.700,53856.750,153678.400,146293.000,541098.300,0.000
144570.000,146221.200,149545.100,180794.300,53347.120,151940.800,144654.800,535909.100,0.000
142367.800,143984.700,147242.100,174823.800,52649.010,149607.600,142441.900,529009.200,0.000
141758.100,143362.200,146606.200,173538.600,52431.820,148959.300,141820.500,526594.300,0.000
142674.300,144287.100,147565.500,177153.200,52687.710,149925.700,142729.700,528595.300,0.000
142982.300,144597.800,147888.100,179260.000,52766.020,150251.600,143040.000,528978.900,0.000
141448.100,143044.500,146286.000,175747.400,52280.220,148633.800,141511.100,524154.500,0.000
139376.700,140949.300,144126.900,170210.200,51621.350,146452.600,139440.900,517710.200,0.000
138751.900,140321.800,143485.100,168935.400,51403.310,145802.800,138818.500,515318.200,0.000
139527.500,141113.000,144306.500,172148.200,51619.730,146628.800,139593.400,516948.900,0.000
139770.100,141362.000,144567.200,174044.500,51675.020,146886.600,139837.000,517172.500,0.000
138359.500,139934.800,143097.200,170896.800,51217.860,145397.600,138430.000,512744.800,0.000
136459.800,138011.500,141115.600,165897.100,50602.510,143392.800,136528.200,506836.900,0.000
135831.100,137374.400,140464.000,164640.200,50374.360,142729.600,135894.500,504469.300,0.000
136436.900,137988.700,141103.900,167347.400,50531.600,143371.600,136497.700,505639.700,0.000
136598.500,138155.200,141279.000,168959.300,50563.960,143548.700,136666.300,505635.800,0.000
135337.600,136881.400,139966.300,166221.500,50161.970,142224.300,135413.800,501632.000,0.000
133638.900,135162.400,138196.600,161844.900,49615.850,140434.100,133714.700,496314.800,0.000
133010.200,134524.900,137546.800,160632.500,49391.380,139772.200,133083.800,493973.000,0.000
133432.600,134952.800,137996.300,162797.800,49491.620,140222.200,133506.600,494636.800,0.000
133486.700,135010.500,138060.100,164064.900,49482.540,140286.300,133567.800,494340.900,0.000
132348.000,133862.000,136876.500,161684.700,49107.250,139090.300,132436.100,490703.100,0.000
130842.900,132341.800,135310.800,157912.600,48618.690,137504.900,130930.900,485952.900,0.000
130228.400,131720.200,134675.700,156762.500,48406.130,136857.900,130314.000,483651.900,0.000
130491.800,131986.500,134954.800,158418.900,48466.240,137135.900,130573.300,483839.200,0.000
130466.100,131958.200,134927.900,159367.400,48436.380,137106.500,130545.000,483271.500,0.000
129468.700,130944.600,133884.500,157344.800,48103.260,136050.900,129545.300,479989.200,0.000
128156.400,129613.100,132513.800,154150.000,47668.340,134664.800,128228.900,475762.800,0.000
127540.200,128988.000,131873.500,153045.800,47447.250,134014.900,127610.800,473464.800,0.000
127627.100,129075.400,131968.900,154205.300,47447.550,134106.000,127693.800,473165.900,0.000
127500.400,128945.300,131840.700,154830.300,47385.150,133970.800,127563.000,472304.400,0.000
126619.600,128050.500,130923.300,153116.700,47090.760,133038.900,126677.200,469316.300,0.000
125492.900,126907.000,129748.700,150464.200,46722.170,131846.300,125544.100,465573.700,0.000
124894.000,126299.600,129127.700,149435.900,46514.140,131212.800,124943.800,463316.800,0.000
124826.200,126231.100,129061.400,150158.300,46463.390,131142.500,124874.800,462607.600,0.000
124601.600,126001.800,128828.300,150483.200,46362.400,130907.700,124648.200,461492.300,0.000
123812.300,125198.400,128003.100,149036.000,46089.480,130075.300,123855.800,458772.000,0.000
122831.100,124201.500,126979.100,146852.300,45759.460,129038.000,122870.400,455457.100,0.000
122236.800,123599.300,126363.400,145878.600,45549.270,128409.300,122275.400,453230.000,0.000
122041.200,123404.600,126166.500,146216.800,45461.800,128203.500,122078.400,452159.700,0.000
121746.000,123109.400,125865.000,146286.300,45346.800,127894.000,121781.300,450823.900,0.000
121048.200,122404.400,125140.400,145075.800,45109.700,127159.400,121080.100,448338.700,0.000
120196.900,121542.300,124253.700,143297.400,44819.440,126263.000,120225.000,445402.100,0.000
119603.200,120939.800,123637.000,142369.800,44603.640,125639.100,119634.400,443224.300,0.000
119296.300,120628.500,123321.000,142383.900,44480.040,125318.000,119331.800,441881.500,0.000
118932.200,120260.700,122946.200,142233.000,44342.010,124937.200,118970.600,440383.100,0.000
118290.100,119612.800,122282.400,141208.500,44115.360,124265.000,118330.300,438100.600,0.000
117541.000,118857.400,121507.700,139770.600,43854.000,123480.000,117582.200,435486.600,0.000
116964.400,118277.300,120913.900,138896.400,43648.950,122875.200,117008.800,433355.800,0.000
116580.000,117892.000,120519.500,138646.100,43506.660,122470.600,116624.200,431772.900,0.000
116170.800,117479.800,120097.300,138316.100,43358.300,122039.900,116214.900,430119.700,0.000
115596.600,116900.600,119502.400,137464.000,43157.850,121437.600,115642.700,428003.300,0.000
114946.700,116247.300,118830.800,136323.800,42931.090,120757.600,114995.900,425664.300,0.000
114382.900,115679.700,118250.400,135498.800,42730.880,120168.400,114438.400,423580.800,0.000
113927.900,115219.300,117781.700,135034.400,42565.260,119691.300,113984.600,421815.100,0.000
113467.300,114752.600,117305.500,134544.300,42394.950,119206.200,113519.900,420038.100,0.000
112927.200,114207.700,116746.700,133798.400,42198.540,118637.100,112974.800,418035.500,0.000
112347.500,113625.300,116147.900,132877.300,41992.370,118027.800,112393.500,415902.100,0.000
111796.100,113070.900,115579.600,132094.800,41796.550,117450.400,111849.400,413862.000,0.000
111289.300,112559.900,115057.000,131468.800,41614.130,116920.400,111349.900,411961.100,0.000
110794.500,112058.900,114545.100,130858.200,41433.460,116401.300,110857.100,410093.400,0.000
110287.200,111543.800,114018.800,130196.900,41248.330,115867.000,110346.300,408186.300,0.000
109765.700,111013.600,113477.800,129445.700,41060.880,115317.500,109820.100,406220.900,0.000
109228.300,110468.100,112921.600,128703.400,40868.160,114752.000,109283.800,404230.900,0.000
108685.000,109919.600,112360.300,127967.900,40670.270,114180.800,108741.900,402249.200,0.000
108161.200,109392.400,111819.700,127275.600,40476.330,113633.000,108220.800,400328.500,0.000
107668.000,108895.800,111309.400,126676.000,40290.420,113119.400,107731.200,398495.100,0.000
107176.100,108399.100,110798.100,126040.200,40104.540,112605.500,107240.200,396647.100,0.000
106647.100,107863.000,110247.900,125321.300,39911.070,112050.000,106713.000,394690.000,0.000
106093.500,107301.100,109673.800,124513.900,39715.700,111467.200,106158.800,392655.800,0.000
105571.900,106771.500,109135.500,123773.800,39532.000,110917.800,105635.500,390702.700,0.000
105108.800,106302.800,108659.400,123229.400,39364.030,110430.700,105171.100,388924.800,0.000
104655.100,105845.400,108192.800,122695.800,39198.860,109954.500,104717.400,387173.400,0.000
104139.800,105325.100,107661.200,122014.300,39015.550,109413.900,104205.900,385257.500,0.000
103568.700,104749.600,107070.600,121159.400,38811.600,108814.900,103635.500,383192.700,0.000
103028.100,104207.400,106511.100,120374.000,38614.770,108250.900,103095.800,381217.800,0.000
102569.500,103747.000,106035.900,119852.600,38444.640,107774.800,102640.700,379484.300,0.000
102132.100,103303.700,105580.900,119372.400,38281.390,107317.300,102204.700,377803.600,0.000
101625.500,102786.500,105053.100,118707.900,38095.820,106780.800,101697.800,375923.600,0.000
101053.700,102204.000,104459.000,117831.600,37888.420,106174.300,101123.900,373857.500,0.000
100510.900,101652.400,103897.900,117027.900,37688.510,105601.400,100581.400,371880.000,0.000
100060.500,101196.200,103434.200,116519.100,37521.180,105127.400,100132.100,370170.700,0.000
99641.380,100773.400,103002.400,116074.400,37369.510,104687.400,99713.410,368539.100,0.000
99147.870,100274.000,102490.600,115440.600,37193.160,104169.000,99222.750,366709.300,0.000
98582.420,99699.740,101900.600,114579.800,36988.480,103572.300,98655.920,364684.200,0.000
98048.320,99156.190,101342.400,113785.400,36791.480,103006.100,98116.750,362743.800,0.000
