EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
236387.800,243694.500,240552.300,750000.100,54754.090,259696.300,239275.300,750000.100,0.000
232447.500,239578.800,235638.900,750000.100,55059.320,255211.700,235162.700,750000.100,0.000
228938.700,235925.600,231613.300,750000.100,55309.210,251220.400,231636.300,750000.100,0.000
225749.900,232594.800,228034.400,750000.100,55423.300,247610.900,228429.400,750000.100,0.000
222867.700,229595.700,224913.900,750000.100,55499.470,244359.800,225544.000,750000.100,0.000
220238.500,226857.000,222037.900,750000.100,55472.290,241401.000,222773.000,750000.100,0.000
217849.700,224364.700,219473.600,750000.100,55432.600,238699.700,220258.200,750000.100,0.000
215669.400,222099.400,217211.000,750000.100,55443.150,236236.600,218096.800,750000.100,0.000
213626.100,219978.600,215056.500,750000.100,55397.370,233957.400,216085.300,750000.100,0.000
211762.900,218049.400,213141.300,750000.100,55374.130,231863.200,214240.000,750000.100,0.000
210024.600,216238.600,211292.500,750000.100,55277.390,229915.700,212380.600,750000.100,0.000
208424.700,214567.600,209612.700,750000.100,55186.190,228103.900,210665.300,750000.100,0.000
206945.800,213034.000,208122.300,743248.100,55153.740,226429.800,209208.200,750000.100,0.000
205528.900,211562.700,206649.400,715721.800,55076.850,224854.600,207828.600,750000.100,0.000
204215.000,210206.500,205321.800,690859.300,55016.410,223386.600,206537.800,750000.100,0.000
202976.700,208928.700,204009.800,667105.100,54904.470,222011.300,205200.900,750000.100,0.000
201836.300,207739.200,202818.300,644404.900,54810.410,220727.800,203965.600,750000.100,0.000
200783.300,206649.800,201776.700,623920.900,54779.750,219538.300,202945.200,750000.100,0.000
199762.900,205587.800,200727.700,606259.600,54717.070,218402.600,201976.700,750000.100,0.000
198816.200,204607.300,199783.200,590174.300,54673.260,217342.600,201060.600,750000.100,0.000
197910.900,203666.100,198813.700,574224.200,54564.540,216334.100,200054.300,749719.000,0.000
197081.500,202802.700,197943.200,558485.900,54482.380,215405.400,199133.500,746378.800,0.000
196305.200,201998.600,197185.200,544177.900,54453.770,214529.100,198389.200,743328.200,0.000
195551.700,201214.500,196419.300,532290.200,54409.600,213687.700,197704.600,741187.600,0.000
194843.400,200484.300,195722.700,521493.800,54367.850,212888.300,197025.500,739476.900,0.000
194164.500,199779.500,194983.100,510190.900,54269.140,212141.200,196246.800,737311.800,0.000
193545.800,199137.500,194317.800,498421.000,54188.320,211452.500,195513.000,734576.800,0.000
192974.800,198547.700,193769.500,487560.100,54174.110,210801.900,194968.700,731960.800,0.000
192406.600,197952.000,193219.200,479624.100,54164.090,210169.300,194541.500,730534.300,0.000
191878.200,197401.900,192700.300,472339.200,54136.290,209574.100,194037.600,729105.800,0.000
191371.300,196881.100,192137.200,463966.400,54052.780,209018.400,193419.400,727028.000,0.000
190914.800,196406.600,191634.000,454887.900,53987.160,208505.500,192844.300,724648.800,0.000
190489.000,195969.000,191234.300,446490.300,53987.070,208021.700,192447.100,722411.000,0.000
190062.000,195528.300,190837.600,440935.200,54001.910,207554.800,192175.100,721183.800,0.000
189657.900,195112.500,190440.800,435806.100,53979.380,207099.200,191789.500,720272.400,0.000
189272.600,194709.100,189992.600,429415.900,53900.250,206671.800,191282.800,718750.100,0.000
188929.700,194349.700,189604.800,422187.300,53843.300,206287.000,190822.300,716597.100,0.000
188611.300,194017.800,189312.200,415522.000,53849.470,205917.800,190536.000,714508.100,0.000
188294.600,193677.100,189017.200,411542.800,53870.570,205558.500,190363.300,713735.100,0.000
187995.500,193367.800,188726.000,407862.400,53861.270,205217.700,190082.300,713253.700,0.000
187700.000,193057.500,188374.400,402871.700,53794.040,204895.000,189674.900,712084.100,0.000
187440.900,192789.700,188080.100,397020.100,53751.390,204608.100,189309.000,710314.600,0.000
187211.100,192556.100,187883.500,391715.600,53778.660,204341.900,189117.000,708647.900,0.000
186969.900,192304.900,187661.500,388777.200,53804.230,204075.500,189004.000,708137.800,0.000
186750.300,192078.300,187450.300,386078.200,53809.770,203822.300,188804.800,707888.400,0.000
186531.000,191848.300,187176.000,382122.700,53755.050,203581.800,188477.000,706996.500,0.000
186344.100,191645.000,186951.200,377303.600,53713.840,203356.900,188172.500,705525.100,0.000
186180.000,191470.700,186813.100,372997.600,53742.360,203153.100,188038.100,704155.600,0.000
186004.900,191283.200,186652.800,370831.500,53775.890,202960.400,187983.700,703836.400,0.000
185848.900,191114.700,186505.100,368871.200,53786.610,202766.600,187841.900,703770.200,0.000
185697.300,190941.000,186291.100,365696.000,53741.730,202584.400,187575.100,703102.100,0.000
185563.100,190787.300,186118.200,361642.000,53709.990,202419.000,187336.500,701850.900,0.000
185440.300,190656.500,186027.900,358062.600,53739.230,202268.000,187249.700,700696.200,0.000
185314.600,190519.700,185913.900,356469.500,53774.900,202124.900,187229.000,700531.600,0.000
185202.500,190405.000,185815.200,355054.300,53797.970,201990.400,187143.200,700590.800,0.000
185076.800,190273.300,185641.000,352454.800,53753.360,201850.400,186917.000,700067.900,0.000
184979.600,190167.800,185513.200,348977.900,53725.640,201726.700,186712.000,698986.800,0.000
184902.700,190093.100,185469.800,345963.700,53771.500,201630.500,186675.700,698011.600,0.000
184793.800,189974.700,185372.800,344824.800,53797.340,201517.900,186677.700,697965.800,0.000
184693.700,189875.100,185290.000,343850.600,53806.200,201405.500,186605.500,698151.900,0.000
184600.300,189782.100,185153.700,341702.600,53774.540,201313.400,186424.300,697773.600,0.000
184525.100,189703.100,185052.300,338655.200,53756.130,201230.100,186262.700,696827.600,0.000
184469.000,189650.300,185031.700,336054.600,53800.110,201160.500,186252.500,695987.100,0.000
184375.600,189554.500,184955.400,335273.300,53815.490,201062.900,186264.100,696048.400,0.000
184301.800,189483.400,184903.700,334640.300,53831.140,200983.100,186226.700,696327.400,0.000
184219.500,189402.300,184778.600,332820.300,53788.940,200901.200,186058.400,696031.500,0.000
184169.300,189349.000,184703.400,330105.700,53772.400,200843.900,185921.600,695177.800,0.000
184136.400,189314.300,184704.500,327823.200,53817.550,200799.000,185933.900,694421.900,0.000
184075.500,189253.500,184656.400,327347.000,53846.070,200740.700,185984.000,694576.400,0.000
184028.900,189211.600,184627.800,327003.100,53866.630,200686.800,185967.000,694941.600,0.000
183978.600,189156.700,184531.600,325465.100,53833.460,200635.500,185826.900,694723.600,0.000
183936.500,189105.100,184462.600,323008.500,53805.570,200579.100,185693.100,693944.400,0.000
183910.300,189080.500,184473.200,320972.500,53849.730,200551.100,185718.500,693253.800,0.000
183866.400,189039.000,184445.200,320752.800,53888.090,200518.600,185793.300,693479.800,0.000
183829.400,189009.500,184430.000,320653.000,53911.880,200480.400,185793.300,693918.400,0.000
183786.300,188964.800,184344.100,319340.400,53874.680,200437.200,185657.100,693775.300,0.000
183770.200,188945.900,184301.100,317095.000,53857.870,200409.300,185543.500,693060.100,0.000
183760.700,188937.300,184323.600,315255.400,53897.480,200390.500,185580.800,692426.100,0.000
183726.900,188900.500,184301.700,315244.100,53927.250,200358.700,185660.600,692722.000,0.000
183705.800,188882.400,184294.300,315335.500,53946.030,200328.800,185664.000,693224.400,0.000
183670.000,188839.800,184212.700,314189.800,53904.360,200294.300,185533.800,693132.400,0.000
183659.500,188830.600,184179.700,312092.400,53890.860,200288.000,185440.200,692456.700,0.000
183655.800,188830.600,184213.900,310391.900,53931.010,200280.300,185480.900,691867.700,0.000
183624.100,188799.200,184200.000,310534.300,53956.310,200251.700,185562.700,692211.500,0.000
183605.700,188785.600,184200.400,310759.500,53975.710,200229.800,185573.700,692754.900,0.000
183585.300,188765.300,184134.500,309733.300,53942.630,200210.400,185455.300,692702.900,0.000
183588.900,188766.700,184111.900,307732.900,53930.380,200207.400,185364.100,692051.100,0.000
183596.600,188772.300,184154.100,306113.900,53972.940,200205.500,185414.600,691464.800,0.000
183583.300,188755.600,184158.400,306397.000,54011.200,200196.000,185519.800,691836.700,0.000
183580.300,188757.500,184173.600,306760.000,54040.080,200195.000,185548.600,692402.800,0.000
183561.300,188738.900,184111.200,305830.200,54005.210,200182.900,185435.200,692348.800,0.000
183556.100,188732.200,184082.400,303906.500,53983.400,200175.600,185338.800,691671.100,0.000
183555.500,188735.500,184116.600,302349.200,54014.780,200167.000,185380.500,691044.900,0.000
183531.300,188707.800,184113.600,302758.700,54042.410,200145.000,185480.700,691411.400,0.000
183526.300,188708.300,184125.800,303282.300,54067.350,200139.000,185505.500,692000.600,0.000
183516.100,188704.800,184072.100,302464.200,54039.730,200140.500,185404.200,691947.800,0.000
183518.500,188703.200,184047.900,300609.900,54022.290,200146.900,185316.500,691262.700,0.000
183529.200,188718.100,184090.100,299090.000,54062.790,200155.200,185373.200,690610.000,0.000
183513.500,188702.900,184095.100,299636.200,54098.020,200142.600,185495.000,691011.800,0.000
183504.000,188692.700,184100.100,300290.200,54111.960,200130.700,185517.800,691652.500,0.000
183493.600,188680.800,184039.700,299559.300,54073.700,200124.400,185405.800,691637.400,0.000
183499.900,188686.100,184018.200,297777.500,54054.750,200134.500,185315.500,690979.100,0.000
183517.300,188705.200,184071.700,296329.100,54096.770,200146.400,185372.300,690360.400,0.000
183514.500,188701.200,184097.500,296973.200,54142.280,200145.900,185501.900,690809.500,0.000
183522.900,188713.800,184125.500,297727.100,54172.050,200150.600,185538.400,691499.800,0.000
183516.100,188705.500,184068.800,297069.100,54129.580,200137.400,185417.800,691512.800,0.000
183532.300,188719.100,184057.000,295356.900,54114.740,200152.400,185332.500,690888.100,0.000
183549.200,188735.700,184104.800,293960.500,54150.410,200162.100,185387.800,690291.600,0.000
183537.400,188717.700,184113.800,294669.700,54180.090,200147.900,185505.400,690768.000,0.000
183534.000,188721.000,184125.500,295476.100,54197.170,200146.400,185534.200,691475.800,0.000
183524.700,188706.500,184062.200,294859.100,54157.920,200146.800,185428.700,691494.600,0.000
183534.100,188709.200,184040.200,293166.500,54133.870,200152.200,185331.800,690848.300,0.000
183560.500,188736.700,184103.200,291816.100,54178.220,200166.400,185389.200,690247.400,0.000
183565.600,188739.000,184138.000,292628.800,54228.640,200167.800,185530.000,690743.300,0.000
183570.000,188744.200,184160.900,293512.000,54248.040,200167.800,185561.000,691443.300,0.000
183567.800,188743.700,184109.500,292948.300,54212.100,200175.300,185457.000,691444.600,0.000
183583.700,188760.500,184094.700,291293.200,54193.240,200191.100,185368.800,690773.400,0.000
183600.200,188781.000,184143.400,289951.500,54233.650,200205.300,185425.800,690112.100,0.000
183593.200,188773.100,184164.700,290818.800,54278.090,200202.700,185564.000,690581.700,0.000
183588.400,188775.300,184177.800,291752.300,54294.630,200202.700,185593.100,691271.900,0.000
183586.100,188772.500,184123.000,291220.500,54256.360,200205.400,185482.600,691254.900,0.000
183606.900,188786.100,184109.100,289580.500,54235.970,200217.500,185389.500,690566.800,0.000
183635.200,188810.900,184168.900,288252.300,54279.520,200236.000,185454.800,689897.700,0.000
183628.900,188803.000,184197.500,289206.800,54325.740,200235.300,185603.200,690400.400,0.000
183628.300,188805.500,184215.700,290221.200,54342.010,200228.800,185630.400,691132.600,0.000
183624.400,188805.100,184163.500,289726.800,54305.710,200232.600,185522.500,691155.700,0.000
