EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
260258.500,265221.100,280630.200,750000.100,234991.100,295805.300,268237.400,750000.100,0.000
255587.800,260419.600,273403.500,750000.100,230917.100,290271.800,263305.200,750000.100,0.000
251461.500,256177.200,267664.400,750000.100,227299.700,285373.100,258957.600,750000.100,0.000
247780.400,252410.400,262930.700,750000.100,224139.200,281022.400,255195.900,750000.100,0.000
244426.100,248975.500,258654.700,750000.100,221171.300,277108.000,251651.900,750000.100,0.000
241438.300,245923.400,255069.300,750000.100,218592.800,273584.400,248603.600,750000.100,0.000
238685.300,243103.300,251760.800,750000.100,216153.800,270354.600,245680.600,750000.100,0.000
236199.500,240550.600,248846.100,750000.100,213956.100,267422.700,243062.600,750000.100,0.000
233932.600,238226.200,246281.100,750000.100,212010.200,264746.400,240768.400,750000.100,0.000
231792.100,236022.500,243747.200,750000.100,210086.300,262244.300,238483.200,750000.100,0.000
229864.100,234045.900,241598.700,750000.100,208423.700,259962.300,236530.400,750000.100,0.000
228054.500,232194.500,239525.600,750000.100,206813.200,257846.300,234598.600,750000.100,0.000
226404.800,230500.000,237666.800,750000.100,205347.100,255900.700,232854.200,750000.100,0.000
224859.700,228918.800,235997.600,750000.100,204030.600,254074.300,231308.800,750000.100,0.000
223368.100,227392.900,234260.900,750000.100,202679.800,252351.900,229706.500,750000.100,0.000
222029.800,226026.500,232815.200,750000.100,201534.300,250776.600,228372.300,750000.100,0.000
220739.100,224704.900,231356.600,750000.100,200376.500,249277.300,226989.200,750000.100,0.000
219565.100,223497.700,230056.300,750000.100,199326.600,247891.200,225739.800,750000.100,0.000
218468.500,222373.700,228901.300,750000.100,198401.900,246588.600,224658.400,749231.600,0.000
217387.400,221266.900,227644.100,742579.600,197420.500,245348.800,223492.900,746049.400,0.000
216407.000,220270.600,226612.500,724410.100,196589.100,244195.100,222528.200,743251.800,0.000
215467.000,219313.100,225554.800,707116.000,195745.800,243108.100,221512.200,740515.600,0.000
214613.100,218437.500,224618.600,690539.100,194981.500,242104.500,220600.900,737691.100,0.000
213812.500,217622.100,223797.800,675647.900,194319.700,241159.300,219832.000,735398.400,0.000
