EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
248799.700,256733.000,276172.900,750000.100,118656.400,283393.800,259542.100,750000.100,0.000
244435.500,252186.900,269517.400,750000.100,117466.300,278207.200,254886.600,750000.100,0.000
240538.300,248123.500,263956.500,750000.100,116241.900,273610.300,250559.800,750000.100,0.000
237088.000,244539.700,259336.300,750000.100,115181.900,269545.200,246800.700,750000.100,0.000
234018.500,241325.800,255524.300,750000.100,114330.000,265882.300,243674.300,750000.100,0.000
231221.600,238396.800,252194.800,750000.100,113558.000,262538.900,240900.600,750000.100,0.000
228636.100,235708.300,249023.100,750000.100,112717.400,259490.500,238134.100,750000.100,0.000
226251.900,233223.500,246018.400,750000.100,111840.200,256707.200,235430.300,750000.100,0.000
224099.000,230996.100,243381.900,750000.100,111096.600,254184.300,233047.900,750000.100,0.000
222152.000,228960.200,241171.400,750000.100,110533.000,251864.500,231103.000,750000.100,0.000
220339.800,227062.300,239180.600,750000.100,110031.300,249701.000,229370.500,750000.100,0.000
218602.200,225267.700,237142.300,750000.100,109432.400,247675.100,227520.700,750000.100,0.000
216980.100,223583.300,235131.000,750000.100,108784.700,245796.300,225638.500,750000.100,0.000
215500.500,222051.500,233349.600,750000.100,108234.500,244061.900,223969.200,750000.100,0.000
214149.800,220632.800,231873.500,750000.100,107832.300,242442.100,222638.900,750000.100,0.000
212877.800,219296.500,230538.700,750000.100,107483.800,240915.900,221463.600,750000.100,0.000
211643.600,218026.300,229108.400,738973.000,107044.500,239484.900,220151.700,750000.100,0.000
210470.600,216808.800,227642.000,720555.400,106541.500,238138.500,218756.400,750000.100,0.000
209397.200,215705.200,226351.100,702200.300,106124.200,236893.900,217528.000,750000.100,0.000
208422.100,214680.100,225320.000,686899.300,105844.800,235725.600,216601.700,750000.100,0.000
207501.100,213709.400,224393.900,675569.400,105615.700,234619.900,215801.500,750000.100,0.000
206588.700,212770.600,223342.500,663780.600,105284.100,233566.600,214828.600,750000.100,0.000
205719.500,211867.100,222231.000,651088.300,104881.700,232567.800,213750.900,750000.100,0.000
204925.200,211050.300,221265.900,637946.800,104557.500,231653.400,212821.600,750000.100,0.000
204209.400,210295.100,220532.400,627308.700,104365.700,230791.000,212166.000,750000.100,0.000
203517.800,209567.400,219870.400,620125.300,104202.300,229953.200,211600.000,750000.100,0.000
202833.800,208866.200,219081.600,612167.000,103948.400,229163.800,210867.600,750000.100,0.000
202182.400,208191.700,218226.100,603032.800,103634.900,228425.500,210031.100,750000.100,0.000
201587.600,207583.100,217489.000,593158.600,103384.000,227738.000,209309.000,750000.100,0.000
201065.400,207027.100,216972.200,585482.800,103263.500,227092.900,208845.400,750000.100,0.000
